iteration,time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
-1601812278,15.3,-2.38325,-16.3904,-7.92084,-3.60196,-0.422537,1.32932,0.831817,0.0606639,0.930855
-1601812277,15.4,-2.73922,-16.4324,-7.78332,-3.51693,-0.415526,1.42047,0.868519,0.0796059,0.891937
-1601812276,15.5,-3.08651,-16.4735,-7.63688,-3.42831,-0.406604,1.50767,0.903607,0.0988928,0.851795
-1601812275,15.6,-3.42477,-16.5136,-7.48192,-3.33626,-0.395738,1.59079,0.937025,0.11847,0.810529
-1601812274,15.7,-3.75366,-16.5526,-7.31886,-3.24096,-0.382902,1.66974,0.968718,0.138281,0.76824
-1601812273,15.8,-4.07286,-16.5901,-7.14811,-3.14258,-0.368076,1.74441,0.998632,0.158271,0.72503
-1601812272,15.9,-4.38208,-16.6261,-6.97012,-3.04129,-0.351244,1.81472,1.02672,0.178383,0.681004
-1601812271,16,-4.68103,-16.6603,-6.78532,-2.9373,-0.332397,1.88059,1.05293,0.198562,0.636265
-1601812270,16.1,-4.96945,-16.6925,-6.59415,-2.83077,-0.311531,1.94195,1.07722,0.218752,0.590917
-1601812269,16.2,-5.24711,-16.7226,-6.39708,-2.72192,-0.288648,1.99875,1.09954,0.238896,0.545064
-1601812268,16.3,-5.51377,-16.7502,-6.19456,-2.61093,-0.263755,2.05095,1.11986,0.25894,0.498812
-1601812267,16.4,-5.76923,-16.7752,-5.98704,-2.49802,-0.236865,2.09851,1.13813,0.278827,0.452264
-1601812266,16.5,-6.01331,-16.7975,-5.77501,-2.38337,-0.207997,2.1414,1.15433,0.298503,0.405524
-1601812265,16.6,-6.24585,-16.8168,-5.55892,-2.26722,-0.177174,2.17961,1.16842,0.317913,0.358697
-1601812264,16.7,-6.46671,-16.8329,-5.33924,-2.14976,-0.144425,2.21314,1.18037,0.337005,0.311884
-1601812263,16.8,-6.67577,-16.8456,-5.11645,-2.03122,-0.109785,2.24199,1.19016,0.355724,0.265187
-1601812262,16.9,-6.87293,-16.8548,-4.891,-1.9118,-0.0732941,2.26618,1.19776,0.37402,0.218709
-1601812261,17,-7.05811,-16.8602,-4.66337,-1.79174,-0.0349969,2.28574,1.20316,0.391841,0.172547
-1601812260,17.1,-7.23126,-16.8617,-4.43401,-1.67124,0.00505661,2.30071,1.20633,0.409138,0.1268
-1601812259,17.2,-7.39235,-16.8591,-4.20338,-1.55055,0.0468115,2.31112,1.20727,0.425861,0.0815657
-1601812258,17.3,-7.54137,-16.8523,-3.97193,-1.42987,0.0902081,2.31704,1.20596,0.441964,0.0369375
-1601812257,17.4,-7.67833,-16.841,-3.74012,-1.30943,0.135182,2.31853,1.20241,0.457401,-0.0069915
-1601812256,17.5,-7.80327,-16.8252,-3.50837,-1.18946,0.181665,2.31567,1.1966,0.472127,-0.0501307
-1601812255,17.6,-7.91624,-16.8046,-3.27713,-1.07018,0.229582,2.30853,1.18855,0.4861,-0.0923918
-1601812254,17.7,-8.01734,-16.7792,-3.04681,-0.951823,0.278858,2.29722,1.17825,0.49928,-0.133689
-1601812253,17.8,-8.10665,-16.7488,-2.81782,-0.834607,0.329411,2.28183,1.16572,0.511626,-0.17394
-1601812252,17.9,-8.1843,-16.7133,-2.59057,-0.718754,0.381154,2.26247,1.15096,0.523103,-0.213064
-1601812251,18,-8.25045,-16.6726,-2.36545,-0.604488,0.434001,2.23926,1.134,0.533674,-0.250985
-1601812250,18.1,-8.30526,-16.6265,-2.14284,-0.492026,0.487858,2.21232,1.11487,0.543309,-0.287628
-1601812249,18.2,-8.34892,-16.575,-1.92311,-0.381586,0.54263,2.18178,1.09357,0.551975,-0.322924
-1601812248,18.3,-8.38165,-16.5179,-1.7066,-0.273382,0.59822,2.14778,1.07016,0.559646,-0.356805
-1601812247,18.4,-8.40368,-16.4553,-1.49367,-0.167624,0.654526,2.11046,1.04465,0.566296,-0.38921
-1601812246,18.5,-8.41527,-16.387,-1.28462,-0.0645202,0.711444,2.06999,1.0171,0.571902,-0.42008
-1601812245,18.6,-8.41668,-16.313,-1.07977,0.0357278,0.768871,2.0265,0.987534,0.576444,-0.449359
-1601812244,18.7,-8.40822,-16.2332,-0.879412,0.132921,0.826697,1.98017,0.956015,0.579905,-0.476998
-1601812243,18.8,-8.3902,-16.1476,-0.683824,0.226867,0.884815,1.93116,0.922594,0.582271,-0.502951
-1601812242,18.9,-8.36296,-16.0562,-0.493264,0.317379,0.943114,1.87964,0.887327,0.58353,-0.527178
-1601812241,19,-8.32685,-15.959,-0.307974,0.404274,1.00148,1.82578,0.85028,0.583675,-0.549643
-1601812240,19.1,-8.28223,-15.856,-0.128179,0.487377,1.05981,1.76977,0.811519,0.582702,-0.570314
-1601812239,19.2,-8.22951,-15.7471,0.0459138,0.566523,1.11799,1.71178,0.771119,0.580608,-0.589166
-1601812238,19.3,-8.16907,-15.6324,0.214117,0.641549,1.1759,1.652,0.729159,0.577396,-0.606179
-1601812237,19.4,-8.10134,-15.5119,0.37626,0.712305,1.23343,1.59061,0.685722,0.573073,-0.62134
-1601812236,19.5,-8.02675,-15.3857,0.53219,0.778647,1.29047,1.52779,0.640899,0.567647,-0.634639
-1601812235,19.6,-7.94576,-15.2538,0.681776,0.840442,1.34692,1.46374,0.594783,0.561133,-0.646074
-1601812234,19.7,-7.85882,-15.1163,0.824903,0.897564,1.40267,1.39864,0.547477,0.553547,-0.655649
-1601812233,19.8,-7.76641,-14.9733,0.961475,0.949901,1.4576,1.33267,0.499084,0.544912,-0.663374
-1601812232,19.9,-7.669,-14.8248,1.09141,0.997349,1.51161,1.26602,0.449718,0.535252,-0.669265
-1601812231,20,-7.5671,-14.671,1.21466,1.03982,1.56461,1.19888,0.399493,0.524596,-0.673343
-1601812230,20.1,-7.46121,-14.512,1.33118,1.07722,1.6165,1.13142,0.34853,0.512976,-0.675637
-1601812229,20.2,-7.35183,-14.3478,1.44094,1.1095,1.66718,1.06381,0.296953,0.500429,-0.676179
-1601812228,20.3,-7.23948,-14.1786,1.54394,1.1366,1.71656,0.996236,0.24489,0.486991,-0.675007
-1601812227,20.4,-7.12468,-14.0045,1.6402,1.15847,1.76455,0.928864,0.192471,0.472705,-0.672163
-1601812226,20.5,-7.00796,-13.8257,1.72973,1.17508,1.81107,0.861858,0.139829,0.457615,-0.667694
-1601812225,20.6,-6.88984,-13.6423,1.81258,1.18643,1.85605,0.795378,0.087101,0.441765,-0.66165
-1601812224,20.7,-6.77085,-13.4546,1.88883,1.19251,1.8994,0.729578,0.034423,0.425205,-0.654087
-1601812223,20.8,-6.65152,-13.2625,1.95853,1.19332,1.94106,0.664609,-0.0180658,0.407985,-0.645064
-1601812222,20.9,-6.53236,-13.0664,2.02178,1.1889,1.98098,0.600612,-0.0702256,0.390156,-0.634641
-1601812221,21,-6.41391,-12.8664,2.07869,1.17929,2.01908,0.537725,-0.121916,0.371773,-0.622884
-1601812220,21.1,-6.29668,-12.6626,2.12937,1.16454,2.05531,0.476078,-0.172997,0.352891,-0.60986
-1601812219,21.2,-6.18117,-12.4554,2.17395,1.14472,2.08964,0.415793,-0.223328,0.333564,-0.595641
-1601812218,21.3,-6.0679,-12.2448,2.21257,1.1199,2.12201,0.356987,-0.272769,0.313851,-0.580297
-1601812217,21.4,-5.95735,-12.031,2.2454,1.0902,2.1524,0.299769,-0.321183,0.293809,-0.563904
-1601812216,21.5,-5.85002,-11.8144,2.27258,1.05571,2.18077,0.244239,-0.368432,0.273495,-0.546538
-1601812215,21.6,-5.74637,-11.595,2.29431,1.01656,2.20709,0.190491,-0.414381,0.25297,-0.528276
-1601812214,21.7,-5.64686,-11.373,2.31075,0.972879,2.23136,0.138611,-0.458898,0.23229,-0.509198
-1601812213,21.8,-5.55194,-11.1488,2.32209,0.924828,2.25355,0.088676,-0.501853,0.211515,-0.489382
-1601812212,21.9,-5.46203,-10.9224,2.32855,0.872564,2.27366,0.0407562,-0.543119,0.190704,-0.46891
-1601812211,22,-5.37756,-10.6941,2.33031,0.816264,2.29169,-0.00508674,-0.582574,0.169912,-0.447861
-1601812210,22.1,-5.29891,-10.4641,2.3276,0.756114,2.30764,-0.0487994,-0.620097,0.149199,-0.426316
-1601812209,22.2,-5.22646,-10.2326,2.32063,0.692313,2.32153,-0.0903362,-0.655576,0.128619,-0.404357
-1601812208,22.3,-5.16056,-9.99987,2.30961,0.625071,2.33337,-0.12966,-0.688899,0.108228,-0.382063
-1601812207,22.4,-5.10155,-9.76603,2.29477,0.554608,2.34319,-0.16674,-0.719963,0.0880786,-0.359512
-1601812206,22.5,-5.04974,-9.5313,2.27634,0.481157,2.351,-0.201556,-0.748669,0.0682238,-0.336785
-1601812205,22.6,-5.00541,-9.29589,2.25453,0.404956,2.35684,-0.234094,-0.774924,0.0487136,-0.313957
-1601812204,22.7,-4.96883,-9.06,2.22959,0.326257,2.36075,-0.264347,-0.798642,0.0295964,-0.291104
-1601812203,22.8,-4.94023,-8.8238,2.20174,0.245315,2.36278,-0.292316,-0.819744,0.0109183,-0.2683
