seq,frame_id,stamp,position_x,position_y,position_z,yaw,yaw_rate,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_ztype_mask
0,,1657663439.226557542,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.251551385,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.276554881,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.301567684,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.326601081,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.351551603,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.376551131,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.401576453,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.427759482,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.451604794,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.476556020,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.501552074,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.526555371,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.551589978,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.576703178,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.601513790,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.626554185,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
0,,1657663439.651654188,-1.3124,3.33159,1.21259,-1.47984,0,0,0,0,0,0,0,2048
