timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
2159023150,800000.0,1.0,23720.803,0.0,111634,31276,3549.5361,9254,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2160023697,800000.0,1.0,24017.62,0.0,112051,31276,3553.5764,9300,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2161022238,800000.0,1.0,23938.096,0.0,112467,31276,3552.749,9346,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2162023504,800000.0,1.0,23682.982,0.0,112887,31276,3553.1467,9393,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2163021254,800000.0,1.0,23741.613,0.0,113301,31276,3342.9338,9439,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2164024273,800000.0,1.0,23661.178,0.0,113723,31276,3798.2495,9485,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2165022206,800000.0,1.0,23780.29,0.0,114139,31276,3552.9055,9531,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2166022959,800000.0,1.0,23648.438,0.0,114557,31276,3555.7651,9577,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2167023351,800000.0,1.0,23706.986,0.0,114975,31276,3554.049,9623,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2168024601,800000.0,1.0,23685.492,0.0,115391,31276,3554.8733,9669,0,0,0,16,0.0,3,5,0,0,1,1,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
