timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
159812750,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
159939036,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160024645,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160129150,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160240876,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160307632,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160437430,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160457623,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160546687,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160778027,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160840801,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
160907973,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
161012293,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
161142948,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
161227934,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
