timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
153765840,3932170,3932170,4259850,0,0,0.0550789,0.05507903,0.0,0.0,3932170,3932170,4325386,0,0,0.0017510937,0.0017510928,0.0,0.0,1,1,0,0,1,1,0,0
153965922,3932170,3932170,4259850,0,0,0.014986677,0.014986649,0.0,0.0,3932170,3932170,4325386,0,0,0.00495554,0.0049555395,0.0,0.0,1,1,0,0,1,1,0,0
154166056,3932170,3932170,4259850,0,0,0.04520039,0.045200467,0.0,0.0,3932170,3932170,4325386,0,0,0.0029990696,0.0029990699,0.0,0.0,1,1,0,0,1,1,0,0
154366107,3932170,3932170,4259850,0,0,0.057278033,0.05727805,0.0,0.0,3932170,3932170,4325386,0,0,0.0025449977,0.0025449973,0.0,0.0,1,1,0,0,1,1,0,0
154566162,3932170,3932170,4259850,0,0,0.07064608,0.07064609,0.0,0.0,3932170,3932170,4325386,0,0,0.0038284557,0.003828456,0.0,0.0,1,1,0,0,1,1,0,0
154766266,3932170,3932170,4259850,0,0,0.09597651,0.0959766,0.0,0.0,3932170,3932170,4325386,0,0,0.006855097,0.006855094,0.0,0.0,1,1,0,0,1,1,0,0
154966329,3932170,3932170,4259850,0,0,0.024433352,0.024433361,0.0,0.0,3932170,3932170,4325386,0,0,0.006403519,0.006403516,0.0,0.0,1,1,0,0,1,1,0,0
155166458,3932170,3932170,4259850,0,0,0.051918294,0.051918283,0.0,0.0,3932170,3932170,4325386,0,0,0.0020762188,0.0020762195,0.0,0.0,1,1,0,0,1,1,0,0
155366528,3932170,3932170,4259850,0,0,0.053384468,0.05338451,0.0,0.0,3932170,3932170,4325386,0,0,0.0034414255,0.0034414262,0.0,0.0,1,1,0,0,1,1,0,0
155566590,3932170,3932170,4259850,0,0,0.014203466,0.014203387,0.0,0.0,3932170,3932170,4325386,0,0,0.010013258,0.010013258,0.0,0.0,1,1,0,0,1,1,0,0
155766739,3932170,3932170,4259850,0,0,0.050993353,0.050993443,0.0,0.0,3932170,3932170,4325386,0,0,0.003779174,0.003779175,0.0,0.0,1,1,0,0,1,1,0,0
155966753,3932170,3932170,4259850,0,0,0.04393369,0.04393368,0.0,0.0,3932170,3932170,4325386,0,0,0.005328275,0.0053282767,0.0,0.0,1,1,0,0,1,1,0,0
156166858,3932170,3932170,4259850,0,0,0.062830485,0.06283046,0.0,0.0,3932170,3932170,4325386,0,0,0.005099893,0.00509989,0.0,0.0,1,1,0,0,1,1,0,0
156366864,3932170,3932170,4259850,0,0,0.0604001,0.06040012,0.0,0.0,3932170,3932170,4325386,0,0,0.0024682637,0.0024682616,0.0,0.0,1,1,0,0,1,1,0,0
156562058,3932170,3932170,4259850,0,0,0.04592764,0.04592765,0.0,0.0,3932170,3932170,4325386,0,0,0.005103675,0.005103676,0.0,0.0,1,1,0,0,1,1,0,0
156767072,3932170,3932170,4259850,0,0,0.05747301,0.05747288,0.0,0.0,3932170,3932170,4325386,0,0,0.003713653,0.0037136541,0.0,0.0,1,1,0,0,1,1,0,0
156967100,3932170,3932170,4259850,0,0,0.06900285,0.06900281,0.0,0.0,3932170,3932170,4325386,0,0,0.0042888764,0.0042888764,0.0,0.0,1,1,0,0,1,1,0,0
157167203,3932170,3932170,4259850,0,0,0.016868316,0.016868317,0.0,0.0,3932170,3932170,4325386,0,0,0.008578396,0.008578396,0.0,0.0,1,1,0,0,1,1,0,0
157367276,3932170,3932170,4259850,0,0,0.054449167,0.054449182,0.0,0.0,3932170,3932170,4325386,0,0,0.0051490907,0.005149091,0.0,0.0,1,1,0,0,1,1,0,0
157567340,3932170,3932170,4259850,0,0,0.0435396,0.04353959,0.0,0.0,3932170,3932170,4325386,0,0,0.0022008414,0.002200841,0.0,0.0,1,1,0,0,1,1,0,0
