timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
442524530,442521338,3932170,7997.867,7.810417,62.483337,179.69446,nan,nan,46.862503,nan,nan,nan,47.733986,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,312.0,165.0,181.0
442588902,442586426,3932170,7997.867,7.810417,147.7338,nan,nan,nan,102.254425,nan,nan,nan,39.052086,164.07405,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,313.0,166.0,172.0
442619466,442617620,3932170,7997.867,7.810417,39.92357,101.53542,180.30373,nan,172.49332,nan,nan,nan,35.152462,55.337055,nan,nan,16.0,10.0,10.0,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,328.0,169.0,170.0
442683358,442680137,3932170,7997.867,7.810417,47.526638,156.87248,nan,nan,179.58473,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,306.0,170.0,196.0
442746226,442745155,3932170,7997.867,7.810417,46.862503,nan,nan,nan,46.862503,nan,nan,nan,32.11315,38.38795,93.725006,nan,16.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,10.0,nan,313.0,155.0,172.0
442778006,442776414,3932170,7997.867,7.810417,47.288723,nan,nan,nan,141.25165,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,340.0,173.0,176.0
442843587,442841433,3932170,7997.867,7.810417,54.67292,nan,nan,nan,61.76433,nan,nan,nan,39.92357,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,322.0,151.0,192.0
442873876,442872700,3932170,7997.867,7.810417,nan,nan,nan,nan,101.53542,163.96347,nan,nan,39.92357,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,16.0,nan,nan,nan,280.0,181.0,192.0
442938789,442935211,3932170,7997.867,7.810417,124.24767,nan,nan,nan,140.58751,nan,nan,nan,148.34306,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,345.0,170.0,186.0
442971437,442970223,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,39.052086,54.67292,48.447063,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,16.0,9.0,nan,323.0,160.0,183.0
443035729,443033992,3932170,7997.867,7.810417,38.767647,71.06697,32.82623,nan,39.052086,132.7771,nan,nan,39.052086,54.67292,132.11296,nan,17.0,10.0,9.0,nan,10.0,10.0,nan,nan,16.0,10.0,10.0,nan,304.0,173.0,195.0
443099487,443097760,3932170,7997.867,7.810417,125.68567,nan,nan,nan,155.5442,nan,nan,nan,46.862503,164.01877,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,322.0,170.0,182.0
443131148,443130270,3932170,7997.867,7.810417,54.67292,74.60695,nan,nan,nan,nan,nan,nan,39.052086,nan,nan,nan,16.0,10.0,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,311.0,160.0,186.0
443196179,443194039,3932170,7997.867,7.810417,nan,nan,nan,nan,nan,nan,nan,nan,141.25165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,322.0,149.0,188.0
443228146,443225299,3932170,7997.867,7.810417,109.34584,187.39514,nan,nan,100.81642,nan,nan,nan,141.25165,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,322.0,154.0,188.0
443293441,443290318,3932170,7997.867,7.810417,51.057735,109.29098,nan,nan,nan,nan,nan,nan,54.67292,nan,nan,nan,17.0,10.0,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,339.0,164.0,189.0
443324025,443321639,3932170,7997.867,7.810417,71.01276,nan,nan,nan,100.81642,nan,nan,nan,46.862503,94.44401,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,324.0,150.0,197.0
443389746,443386597,3932170,7997.867,7.810417,62.483337,nan,nan,nan,nan,nan,nan,nan,39.052086,54.67292,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,325.0,168.0,178.0
443421305,443417856,3932170,7997.867,7.810417,108.62684,nan,nan,nan,nan,nan,nan,nan,53.801437,187.45001,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,316.0,167.0,170.0
443479784,443479125,3932170,7997.867,7.810417,46.862503,123.87506,nan,nan,nan,nan,nan,nan,54.67292,74.60695,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,317.0,153.0,185.0
443549644,443546646,3932170,7997.867,7.810417,164.01877,nan,nan,nan,38.38795,nan,nan,nan,46.862503,93.77987,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,326.0,171.0,179.0
443580375,443577904,3932170,7997.867,7.810417,117.21154,172.49332,nan,nan,nan,nan,nan,nan,39.052086,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,323.0,160.0,159.0
443644778,443641717,3932170,7997.867,7.810417,39.052086,nan,nan,nan,nan,nan,nan,nan,63.256554,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,302.0,167.0,175.0
443676114,443674182,3932170,7997.867,7.810417,46.862503,nan,nan,nan,39.052086,54.67292,nan,nan,39.052086,58.98612,54.67292,nan,10.0,nan,nan,nan,10.0,10.0,nan,nan,16.0,10.0,10.0,nan,307.0,169.0,203.0
443739706,443737951,3932170,7997.867,7.810417,85.59619,nan,nan,nan,148.3975,nan,nan,nan,34.509895,148.39792,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,308.0,151.0,196.0
