timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
114161273,114158742,3932170,7999.1177,7.8116384,37.966408,40.869095,nan,nan,54.68147,179.66768,nan,nan,54.68147,nan,nan,nan,10.0,10.0,nan,nan,17.0,10.0,nan,nan,10.0,nan,nan,nan,316.0,177.0,158.0
114197169,114193755,3932170,7999.1177,7.8116384,78.11639,nan,nan,nan,nan,nan,nan,nan,50.781235,139.89038,54.68147,nan,10.0,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,9.0,nan,359.0,163.0,190.0
114259446,114257529,3932170,7999.1177,7.8116384,53.589684,47.961617,78.11639,nan,nan,nan,nan,nan,46.86983,164.0444,nan,nan,10.0,10.0,10.0,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,338.0,143.0,174.0
114322186,114318804,3932170,7999.1177,7.8116384,53.589684,56.49237,nan,nan,70.30475,93.075424,156.17789,nan,77.39726,nan,nan,nan,10.0,10.0,nan,nan,10.0,10.0,10.0,nan,10.0,nan,nan,nan,314.0,160.0,167.0
114354835,114353816,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,45.942677,38.11645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,10.0,nan,nan,305.0,170.0,216.0
114421230,114417592,3932170,7999.1177,7.8116384,139.89038,nan,nan,nan,39.72243,38.39395,101.52033,70.50119,70.30475,nan,nan,nan,10.0,nan,nan,nan,10.0,10.0,10.0,9.0,10.0,nan,nan,nan,324.0,141.0,180.0
114448439,114447603,3932170,7999.1177,7.8116384,39.484478,148.42113,nan,nan,39.72243,38.39395,101.52033,70.50119,70.30475,nan,nan,nan,17.0,10.0,nan,nan,10.0,10.0,10.0,9.0,10.0,nan,nan,nan,312.0,141.0,180.0
114514920,114512627,3932170,7999.1177,7.8116384,53.589684,47.961617,nan,nan,46.86983,nan,nan,nan,46.86983,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,317.0,137.0,196.0
114548128,114546392,3932170,7999.1177,7.8116384,47.296116,132.13362,188.14355,nan,69.585625,nan,nan,nan,50.781235,47.154316,102.27042,nan,17.0,10.0,10.0,nan,10.0,nan,nan,nan,17.0,17.0,10.0,nan,354.0,149.0,193.0
114611455,114610166,3932170,7999.1177,7.8116384,93.73966,117.174576,132.85272,nan,46.86983,164.00688,nan,nan,46.86983,nan,nan,nan,10.0,10.0,10.0,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,317.0,183.0,191.0
114643278,114641428,3932170,7999.1177,7.8116384,46.86983,139.94525,nan,nan,125.65045,nan,nan,nan,140.55461,nan,nan,nan,17.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,338.0,169.0,172.0
114708386,114706457,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,39.058193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,346.0,160.0,182.0
114772480,114770227,3932170,7999.1177,7.8116384,nan,nan,nan,nan,54.68147,nan,nan,nan,141.3286,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,320.0,169.0,174.0
114803980,114801488,3932170,7999.1177,7.8116384,nan,nan,nan,nan,110.02718,nan,nan,nan,55.107754,147.7569,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,331.0,163.0,187.0
114867234,114864012,3932170,7999.1177,7.8116384,70.30475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,335.0,155.0,166.0
114898932,114896530,3932170,7999.1177,7.8116384,nan,nan,nan,nan,93.73966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,328.0,152.0,175.0
114964459,114961550,3932170,7999.1177,7.8116384,39.058193,nan,nan,nan,nan,nan,nan,nan,39.058193,171.85605,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,310.0,154.0,165.0
114997850,114994062,3932170,7999.1177,7.8116384,nan,nan,nan,nan,108.64382,nan,nan,nan,35.44244,32.338337,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,298.0,158.0,174.0
115058953,115056586,3932170,7999.1177,7.8116384,124.98621,171.1918,nan,nan,101.5513,nan,nan,nan,38.77371,43.329292,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,17.0,10.0,nan,nan,321.0,178.0,172.0
115093598,115090354,3932170,7999.1177,7.8116384,nan,nan,nan,nan,46.86983,nan,nan,nan,55.553085,61.77399,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,300.0,174.0,191.0
115157756,115154125,3932170,7999.1177,7.8116384,nan,nan,nan,nan,nan,nan,nan,nan,46.86983,101.49642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,291.0,165.0,162.0
115221698,115217899,3932170,7999.1177,7.8116384,109.36294,nan,nan,nan,nan,nan,nan,nan,46.86983,66.80698,102.21554,nan,10.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,10.0,nan,344.0,163.0,182.0
115252837,115250412,3932170,7999.1177,7.8116384,47.588947,nan,nan,nan,nan,nan,nan,nan,70.24987,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,325.0,148.0,150.0
115315044,115314186,3932170,7999.1177,7.8116384,62.493107,85.26379,nan,nan,54.68147,nan,nan,nan,46.86983,39.058193,40.643,nan,10.0,10.0,nan,nan,17.0,nan,nan,nan,16.0,9.0,9.0,nan,331.0,158.0,184.0
115349658,115346699,3932170,7999.1177,7.8116384,54.68147,nan,nan,nan,179.66768,nan,nan,nan,147.70201,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,339.0,146.0,177.0
115413404,115410475,3932170,7999.1177,7.8116384,nan,nan,nan,nan,93.73966,nan,nan,nan,39.058193,187.47932,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,16.0,10.0,nan,nan,358.0,143.0,187.0
115445518,115441734,3932170,7999.1177,7.8116384,39.058193,141.3286,nan,nan,38.39395,nan,nan,nan,46.86983,nan,nan,nan,17.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,324.0,167.0,175.0
115508867,115506759,3932170,7999.1177,7.8116384,164.76352,187.42444,nan,nan,125.70532,nan,nan,nan,171.85605,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,319.0,165.0,186.0
115572881,115570534,3932170,7999.1177,7.8116384,54.68147,78.780624,nan,nan,109.36294,nan,nan,nan,46.86983,nan,nan,nan,16.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,339.0,148.0,164.0
115603832,115601796,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,39.058193,nan,nan,nan,156.897,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,303.0,159.0,183.0
115667965,115666821,3932170,7999.1177,7.8116384,54.68147,164.09927,nan,nan,78.11639,93.73966,nan,nan,39.058193,109.36294,nan,nan,17.0,10.0,nan,nan,10.0,10.0,nan,nan,16.0,10.0,nan,nan,332.0,169.0,176.0
115699904,115698082,3932170,7999.1177,7.8116384,46.86983,nan,nan,nan,nan,nan,nan,nan,63.266445,46.86983,124.2671,nan,10.0,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,10.0,nan,306.0,150.0,177.0
115765078,115761858,3932170,7999.1177,7.8116384,63.15735,179.00345,nan,nan,188.14355,nan,nan,nan,39.058193,nan,nan,nan,10.0,10.0,nan,nan,10.0,nan,nan,nan,16.0,nan,nan,nan,316.0,169.0,190.0
